SEP=,
item.power.rain_armor_boots,Ботинки мастера дождя,Rain Boots
item.power.techno_pickaxe,Технокирка,Techno Pickaxe
effect.power.lava_master,Мастер лавы,Master of Lava
item.power.blood_armor_boots,Ботинки мастера крови,Blood Boots
item.power.sun_armor_helmet,Шлем мастера солнца,Sun Helmet
effect.power.whirlwind,Вихрь,Whirlwind
gui.power.wheel_abilities_ocean.tooltip_oceanic_current_uses_10,"Океаническое течение, расходует 10","Oceanic current, uses 10"
item.power.tornado_stone,Камень торнадо,Tornado Stone
item.power.smoke_armor_boots,Ботинки мастера дыма,Smoke Boots
item.power.creation_battery,Батарея,Battery
item.power.spirit_armor_helmet,Шлем мастера духа,Spirit Helmet
item.power.technology_battery,Батарея,Battery
gui.power.wheel_abilities_light.tooltip_blinding_flash_uses_75,"Ослепляющая вспышка, расходует 75","Blinding flash, uses 75"
effect.power.explosion_master,Мастер взрыва,Master of Explosion
gui.power.keepers_box_gui_part_1.tooltip_blue_flame,Синее пламя,Blue Flame
title.level_up.message,§5Вы достигли уровня,§5You've reached level
item.power.sound_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.sound_battery.description_1,§9Звук,§9Sound
gui.power.wheel_abilities_magnet.tooltip_negative_charge_uses_30,"Отрицательный магнит, расходует 50","Negative magnet, uses 50"
item.power.gravity_armor_boots,Ботинки мастера гравитации,Gravity Boots
effect.power.amber_master,Мастер янтаря,Master of Amber
item.power.amber_armor_boots,Ботинки мастера янтаря,Amber Boots
effect.power.shadow_master,Мастер тени,Master of Shadow
item.power.vacuum_battery,Батарея,Battery
item.power.plague_battery.description_1,§9Чума,§9Plague
item.power.plague_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.earth_armor_chestplate,Нагрудник мастера земли,Earth Chestplate
item.power.vacuum_armor_leggings,Поножи мастера пустоты,Vacuum Leggings
advancements.getting_married.descr,"Создайте амплиферовое кольцо, чтобы сбросить перезарядку камня",Create an amplifier ring to reset the stone's recharge
item.power.blue_flame_armor_leggings,Поножи мастера синего пламени,Blue Flame Leggings
block.power.polished_cursed_stone_wall,Ограда из полированного проклятого камня,Polished Cursed Stone Wall
block.power.amplifier_ore,Амплиферовая руда,Amplifier Ore
item.power.raw_energium,Рудный энергиум,Raw Energium
gui.power.wheel_abilities_blood.tooltip_vampirism_uses_40,"Вампиризм, расходует 20","Vampirism, uses 20"
gui.power.wheel_abilities_space.tooltip_black_hole_uses_80,"Чёрная дыра, расходует 80","Black hole, uses 80"
item.power.water_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
gui.power.wheel_abilities_mushrooms.tooltip_planting_mushrooms_uses_35,"Посадка грибов, расходует 35","Planting mushrooms, uses 35"
item.power.water_battery.description_1,§9Вода,§9Water
item.power.music_armor_chestplate,Нагрудник мастера музыки,Music Chestplate
item.power.filth_armor_helmet,Шлем тёмного мастера скверны,Filth Helmet
item.power.explosion_armor_helmet,Шлем мастера взрыва,Explosion Helmet
block.power.cursed_stone_cracked_bricks,Проклятые потрескавшиеся каменные кирпичи,Cursed Stone Cracked Bricks
gui.power.wheel_abilities_sound.tooltip_sound_wave_uses_10,"Звуковая волна, расходует 10","Sound wave, uses 10"
item.power.lightning_battery.description_1,§9Молния,§9Lightning
item.power.lightning_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.darkness_armor_boots,Ботинки мастера тьмы,Darkness Boots
item.power.water_armor_leggings,Поножи мастера воды,Water Leggings
gui.power.wheel_abilities_sand.tooltip_sandstorm_uses_80,"Песчанная буря, расходует 80","Sandstorm, uses 80"
item.power.energium_pickaxe,Энергиумная кирка,Energium Pickaxe
item.power.animals_battery,Батарея,Battery
item.power.explosion_armor_chestplate,Нагрудник мастера взрыва,Explosion Chestplate
block.power.energium_ore,Энергиумная руда,Energium Ore
gui.power.wheel_abilities_lightning.tooltip_lightning_strike_uses_35,"Удар молнии, расходует 35","Lightning strike, uses 35"
block.power.energium_vault,Энергиумное хранилище,Energium Vault
item.power.darkness_armor_leggings,Поножи мастера тьмы,Darkness Leggings
item.power.teleportation_battery,Батарея,Battery
item.power.energium_armor_helmet,Энергиумный шлем,Energium Helmet
item.power.spirit_armor_leggings,Поножи мастера духа,Spirit Leggings
gui.power.wheel_abilities_earth.tooltip_earth_block_attack_uses_15_powe,"Атака блоком земли, расходует 15","Earth block attack, uses 15"
item.power.gravity_battery.description_1,§9Гравитация,§9Gravity
item.power.creation_stone,Камень творения,Creation Stone
item.power.magnet_armor_boots,Ботинки мастера магнита,Magnet Boots
item.power.gravity_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
effect.power.earth_master,Мастер земли,Master of the Earth
block.power.chiseled_cursed_stone,Резной проклятый камень,Chiseled Cursed Stone
item.power.amber_armor_chestplate,Нагрудник мастера янтаря,Amber Chestplate
item.power.ether_armor_helmet,Шлем мастера эфира,Ether Helmet
block.power.copyrium_block,Блок копириума,Block of Copyrium
item.power.time_stone,Камень времени,Time Stone
item.power.lava_armor_leggings,Поножи мастера лавы,Lava Leggings
subtitles.music.mystery_of_the_cursed_forest,,
gui.power.wheel_abilities_tornado.tooltip_mini_tornado_attack_uses_15,"Атака мини-торнадо, расходует 15","Mini tornado attack, uses 15"
item.power.destruction_armor_leggings,Поножи мастера разрушение,Destruction Leggings
effect.power.space_master,Мастер космоса,Master of Space
item.power.plague_stone,Камень чумы,Plague Stone
gui.power.wheel_abilities_crystal.tooltip_crystal_piercing_uses_40,"Пронзание кристаллом, расходует 40","Crystal piercing, uses 40"
gui.power.wheel_abilities_plague.tooltip_plague_wind_uses_15,"Чумной ветер, расходует 15","Plague wind, uses 15"
chat.power.versioncheckwarn,"§cВнимание! Вы используете бета-версию мода Keepers of the Stones II, что может привести к нестабильной работе или повреждению вашего игрового мира. Будьте осторожны!","§cWarning! You are using a beta version of the Keepers of the Stones II mod, which may cause unstable operation or damage to your game world. Be careful!"
item.power.technology_armor_chestplate,Нагрудник мастера технологий,Technology Chestplate
item.power.vacuum_armor_boots,Ботинки мастера пустоты,Vacuum Boots
item.power.creation_armor_leggings,Поножи мастера созидания,Creation Leggings
trim_material.power.depleted_energium_material,Обеднённый энергиум,Depleted Energium
item.power.plague_armor_chestplate,Нагрудник мастера чумы,Plague Chestplate
item.power.energium_shield,Энергиумный щит,Energium Shield
advancements.getting_married.title,Пора жениться!,Getting married
block.power.battery_charger,Зарядник для батарей,Battery Charger
item.power.explosion_armor_boots,Ботинки мастера взрыва,Explosion Boots
item.power.sound_armor_chestplate,Нагрудник мастера звука,Sound Chestplate
item.power.sand_armor_boots,Ботинки мастера песка,Sand Boots
key.categories.power2,Хранители Камней II,Keepers of the Stones II
item.power.teleportation_armor_boots,Ботинки мастера телепортации,Teleportation Boots
gui.power.keepers_box_gui_part_3.tooltip_shadow,Тень,Shadow
gui.power.keepers_box_gui_part_2.tooltip_music,Музыка,Music
item.power.tornado_armor_leggings,Поножи мастера торнадо,Tornado Leggings
item.power.poison_bow,Ядовитый лук,Poison Bow
item.power.sand_saber,Песочная сабля,Sand Saber
item.power.lava_armor_boots,Ботинки мастера лавы,Lava Boots
effect.power.form_master,Мастер формы,Master of Form
item.power.energium_key,Энергиумный ключ,Energium Key
item.power.music_disc_call_of_the_past.desc,bxkqq - Call of the Past,bxkqq - Call of the Past
entity.power.shadow,Тень,Shadow
item.power.green_staff,Зелёный посох,Green Staff
gui.power.wheel_abilities_time.tooltip_acceleration_of_time_uses_30,"Ускорение времени, расходует 40","Acceleration of time, uses 40"
item.power.mercury_armor_leggings,Поножи мастера ртути,Mercury Leggings
item.power.amber_battery,Батарея,Battery
item.power.energy_armor_leggings,Поножи мастера энергии,Energy Leggings
item.power.air_armor_leggings,Поножи мастера воздуха,Air Leggings
gui.power.wheel_abilities_ocean.tooltip_streamlining_uses_5,"Обтекаемость, расходует 5","Streamlining, uses 5"
effect.power.moon_master,Мастер луны,Master of the Moon
item.power.energy_stone,Камень энергии,Energy Stone
item.power.sound_battery,Батарея,Battery
item.power.form_armor_leggings,Поножи мастера формы,Form Leggings
block.power.orange_portal,Оранжевый портал,Orange Portal
item.power.ocean_armor_leggings,Поножи мастера океана,Ocean Leggings
item.power.mind_armor_helmet,Шлем мастера разума,Mind Helmet
item.power.lightning_armor_leggings,Поножи мастера молнии,Lightning Leggings
enchantment.power.isolation,Изоляция,Isolation
item.power.fire_sword,Меч огня,Fire Sword
item.power.animals_armor_helmet,Шлем мастера животных,Animals Helmet
item.power.shadow_armor_helmet,Шлем мастера тени,Shadow Helmet
gui.power.wheel_abilities_rain.tooltip_rain_curtain_uses_45,"Дождевая завеса, расходует 45","Rain curtain, uses 45"
item.power.smoke_armor_helmet,Шлем мастера дыма,Smoke Helmet
item.power.music_disc_call_of_the_past,Пластинка,Music Disc
power.modinfo.cpapi_check,§9[CPAPI]§r Текущая версия Colorful Powers API: v,§9[CPAPI]§r The current version of the Colorful Powers API: v
gui.power.wheel_abilities_ether.tooltip_ethereal_ray_uses_10_power_poin,"Эфирный луч, расходует 10","Ethereal ray, uses 10"
gui.power.wheel_abilities_lava.tooltip_lava_outburst_uses_10,"Лавовый всплеск, uses 10","Lava outburst, uses 10"
item.power.shadow_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.shadow_battery.description_1,§9Тень,§9Shadow
item.power.time_khopesh,Хопеш времени,Time Khopesh
item.power.metal_battery.description_1,§9Металл,§9Metal
item.power.metal_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.air_armor_chestplate,Нагрудник мастера воздуха,Air Chestplate
item.power.earth_armor_helmet,Шлем мастера земли,Earth Helmet
gui.power.wheel_abilities_crystal.tooltip_crystal_block_attack_uses_10,"Атака кристаллическим блоком, расходует 10","Crystal block attack, uses 10"
block.power.deepslate_energium_ore,Энергиумоносный глубинный сланец,Deepslate Energium Ore
block.power.cursed_stone,Проклятый камень,Cursed Stone
item.power.freaking_parsnip_soup,Суп из чёртова пастернака,Soup from Freaking Parsnip
item.power.crystal_stone,Камень кристалла,Crystal Stone
item.power.gravity_armor_leggings,Поножи мастера гравитации,Gravity Leggings
item.power.energium_golem_spawn_egg,Яйцо призыва энергиумного голема,Energium Golem Spawn Egg
item.power.energium_upgrade_smithing_template.description_0,§7Энергиумное улучшение,§7Energium Upgrade
item.power.ocean_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.mercury_battery,Батарея,Battery
item.power.energium_upgrade_smithing_template.description_4,§7Материалы:,§7Ingredients:
item.power.energium_upgrade_smithing_template.description_3,§9Обеднённому энергиуму,§9Depleted Energium
item.power.energium_upgrade_smithing_template.description_2,§7Применяется к:,§7Applies to:
item.power.energium_upgrade_smithing_template.description_1,,
item.power.air_armor_helmet,Шлем мастера воздуха,Air Helmet
gui.power.wheel_abilities_speed.tooltip_acceleration_uses_45,"Ускорение, расходует 45","Acceleration, uses 45"
item.power.ether_armor_chestplate,Нагрудник мастера эфира,Ether Chestplate
gui.power.wheel_abilities_light.tooltip_light_beam_uses_10,"Световой луч, расходует 10","Light beam, uses 10"
item.power.rain_stone,Камень дождя,Rain Stone
block.power.cursed_stone_wall,Ограда из проклятого камня,Cursed Stone Wall
item.power.ocean_battery.description_1,§9Океан,§9Ocean
gui.power.keepers_box_gui_part_1.tooltip_lightning,Молния,Lightning
item.power.energium_ingot,Слиток энергиума,Energium Ingot
item.power.form_sai,Сай формы,Form Sai
item.power.vacuum_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
gui.power.wheel_abilities_technology.tooltip_technobarrier_uses_60,"Технобарьер, расходует 60","Technobarrier, uses 60"
item.power.energium_upgrade_smithing_template.description_5,§9Редстоун,§9Redstone
item.power.vacuum_battery.description_1,§9Вакуум,§9Vacuum
item.power.teleportation_blade,Телепортационный клинок,Teleportation Blade
item.power.moon_stone,Камень луны,Moon Stone
gui.power.wheel_ability_darkness.tooltip_darkness_absorption_uses_80,"Поглощение тьмы, расходует 80","Darkness absorption, uses 80"
gui.power.keepers_box_gui_part_4.tooltip_mushrooms,Грибы,Mushrooms
death.attack.cursed_squire_ds.item,%1$s  был убит Проклятый оруженосец,%1$s was killed by an Cursed Squire
gui.power.wheel_abilities_creation.tooltip_immortality_mark_uses_80,"Метка бессмертия, расходует 80","Immortality mark, uses 80"
effect.power.sand_master,Мастер песка,Master of Sand
gui.power.keepers_box_gui_part_1.tooltip_ocean,Океан,Ocean
block.power.keepers_box,Шкатулка хранителя,Keeper's Box
item.power.horror_armor_boots,Ботинки тёмного мастера хоррора,Horror Boots
item.power.filth_armor_leggings,Поножи тёмного мастера скверны,Filth Leggings
power.modinfo.recharge_stone.done,Готов к использованию,Ready to use
item.power.light_stone,Камень света,Light Stone
item.power.moon_armor_leggings,Поножи мастера луны,Moon Leggings
item.power.space_armor_chestplate,Нагрудник мастера космоса,Space Chestplate
effect.power.technology_master,Мастер технологий,Master of Technologies
gui.power.wheel_abilities_animals.tooltip_scorpion_sting_uses_35,"Жало скорпиона, расходует 35","Scorpion sting, uses 35"
item.power.speed_armor_chestplate,Нагрудник мастера скорости,Speed Chestplate
effect.power.light_master,Мастер света,Master of Light
advancements.energized_gold.descr,"Используйте энергиумное улучшение, чтобы получить заряженный слиток энергиума",Use energium upgrade to get a full energium ingot
death.attack.energium_golem_ds.player,%1$s был убит Энергиумный голем,%1$s was killed by an Energium Golem
effect.power.metal_master,Мастер металла,Master of the Metal
gui.power.wheel_abilities_mind.tooltip_psychowaves_uses_15,"Психоволны, расходует 15","Psychowaves, uses 15"
item.power.basic_box.tooltip,Базовая,Basic
block.power.raw_amplifier_block,Блок рудного амплифера,Block of Raw Amplifier
item.power.constellation_sword,Меч созвездий,Constellation Sword
item.power.creation_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.creation_battery.description_1,§9Созидание,§9Creation
item.power.form_stone,Камень формы,Form Stone
effect.power.mercury_master,Мастер ртути,Master of Mercury
item.power.energium_armor_chestplate,Энергиумный нагрудник,Energium Chestplate
item.power.mist_stone,Камень тумана,Mist Stone
item.power.blue_flame_armor_chestplate,Нагрудник мастера синего пламени,Blue Flame Chestplate
item.power.creation_pickaxe,Кирка созидания,Creation Pickaxe
gui.power.debug_info.label_power_recorded_false,power_recorded: false,power_recorded: false
gui.power.wheel_abilities_music.tooltip_musical_attack_uses_15,"Нотная атака, расходует 15","Musical attack, uses 15"
